Country,Year,fuel,emissions
Uruguay,1993,Coal,0.0
Burkina Faso,2011,Coal,0.0
Estonia,1998,Other,0.040707
Christmas Island,1990,Coal,
Greece,1986,Other,
Russia,2004,Flaring,0.274587
Brazil,1987,Other,
Mayotte,2016,Flaring,0.0
Kazakhstan,1998,Cement,0.000663
Honduras,2004,Other,
Macao,1985,Oil,2.547098
Jamaica,2009,Gas,0.0
Brazil,1995,Gas,0.058727
Argentina,2000,Flaring,0.028565
Bulgaria,1989,Oil,3.929161
North Macedonia,2011,Other,
French West Africa,2019,Cement,
Tunisia,2017,Gas,1.053026
Myanmar,1987,Cement,0.00433
Samoa,1992,Flaring,0.0
Nigeria,2016,Other,
Denmark,1988,Flaring,0.052893
Turks and Caicos Islands,1980,Oil,
Samoa,2003,Oil,0.840546
Poland,2004,Oil,1.523984
Fiji,1982,Cement,0.059139
Saudi Arabia,2011,Cement,0.740672
North Macedonia,1985,Flaring,0.008435
Finland,1982,Coal,2.492624
Germany,2013,Flaring,0.032918
Barbados,2007,Oil,4.332916
Togo,2006,Other,
United Arab Emirates,2008,Cement,1.121087
Saint Pierre and Miquelon,1985,Coal,0.0
Kenya,2008,Coal,0.010472
South Africa,1987,Coal,7.862239
Singapore,1996,Cement,0.0
Zimbabwe,2005,Oil,0.162448
Ireland,1991,Other,0.149947
Marshall Islands,2005,Gas,0.0
Grenada,1986,Other,
Turks and Caicos Islands,1980,Gas,
Colombia,2002,Other,
Mexico,1987,Flaring,0.056883
Liberia,1991,Other,
Swaziland,1992,Cement,0.0
Brunei Darussalam,2005,Other,
Switzerland,2001,Oil,5.038
Mongolia,1981,Other,
Sweden,1987,Cement,0.136002
Mayotte,1992,Flaring,0.0
Andorra,1994,Oil,6.663237
Christmas Island,2006,Other,
Brunei Darussalam,1990,Gas,17.527687
Ghana,1995,Gas,0.0
Iceland,1992,Flaring,0.258809
Mongolia,2019,Cement,0.150741
Mozambique,1990,Gas,0.0
Haiti,2001,Flaring,0.0
Latvia,2000,Flaring,3e-06
Tonga,2002,Other,
Taiwan,1990,Oil,3.339224
Finland,1992,Coal,4.100957
Kazakhstan,1992,Cement,0.041024
Dominica,2017,Coal,0.0
Democratic Republic of the Congo,2020,Flaring,0.0
Andorra,1999,Oil,7.812962
Bahrain,2004,Gas,16.191128
Saint Vincent and the Grenadines,2014,Other,
Saint Kitts and Nevis,2015,Other,
Afghanistan,2021,Gas,0.005956
Ukraine,2005,Oil,0.772902
Equatorial Guinea,1983,Gas,0.0
Suriname,1981,Cement,0.093578
Singapore,1990,Oil,14.379755
Netherlands,2019,Oil,3.052419
Niger,1995,Coal,0.025224
Turkmenistan,2021,Coal,0.0
Bermuda,2000,Other,
Guyana,1998,Other,
French Guiana,1983,Flaring,0.0
Cook Islands,1984,Gas,0.0
Peru,1983,Cement,0.049779
Djibouti,1985,Flaring,0.0
Greece,2020,Oil,2.955721
France,2009,Cement,0.12037
Vanuatu,2018,Oil,0.591568
Japan,1988,Coal,2.268041
Cyprus,2018,Oil,5.267536
Tunisia,2004,Coal,0.0
Eritrea,2011,Cement,0.019078
Australia,2014,Other,0.170674
Peru,1993,Cement,0.049359
Hong Kong,2015,Gas,0.821871
Nepal,2017,Other,
Guatemala,2000,Coal,0.048686
Brazil,1983,Other,
Eritrea,1987,Cement,
Macao,2019,Oil,1.44097
British Virgin Islands,2009,Gas,0.0
